City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,whakatane,-37.9585,176.9854,22.82,64,88,4.8,NZ,1706660418
268,al kharijah,25.4514,30.5464,8.27,44,0,2.66,EG,1706660418
269,aberdeen,57.1437,-2.0981,5.67,83,95,6.69,GB,1706660418
270,choibalsan,48.0667,114.5,-28.45,89,5,4.55,MN,1706660419
271,kirakira,-10.4544,161.9205,27.38,84,100,5.08,SB,1706660419
272,souda,35.4844,24.0744,8.63,87,75,9.26,GR,1706660419
273,talakan,50.3167,130.3667,-29.93,100,95,0.68,RU,1706660419
274,charlottetown,46.2352,-63.1267,-5.84,79,100,4.63,CA,1706660420
275,santa cecilia,-26.9608,-50.4269,17.01,81,17,0.59,BR,1706660172
276,saint-pierre,-21.3393,55.4781,26.82,74,0,2.57,RE,1706660420
277,quatre cocos,-20.2078,57.7625,26.06,77,65,4.69,MU,1706660420
278,jayapura,-2.5333,140.7,28.66,86,100,1.0,ID,1706660420
279,nyurba,63.2842,118.3319,-26.29,98,100,1.01,RU,1706660421
280,pyapon,16.2833,95.6833,20.89,56,0,2.44,MM,1706660234
281,pindushi,62.9152,34.58,-2.74,83,71,3.47,RU,1706660421
282,goroka,-6.0834,145.3873,19.28,93,100,0.35,PG,1706660421
283,san julian,21.0167,-102.1667,20.48,25,100,0.93,MX,1706660422
284,happy valley-goose bay,53.3168,-60.3315,-15.83,51,20,2.57,CA,1706660422
285,buchanan,5.8808,-10.0467,27.3,84,32,3.11,LR,1706660422
286,nuku'alofa,-21.1333,-175.2,28.19,89,75,2.57,TO,1706660423
287,novyy urengoy,66.0833,76.6333,-22.26,96,73,6.33,RU,1706660423
288,vilyuysk,63.7553,121.6247,-26.11,99,100,1.34,RU,1706660423
289,parkano,62.0167,23.0167,0.33,99,100,3.1,FI,1706660424
290,bonthe,7.5264,-12.505,26.05,87,45,2.94,SL,1706660424
291,birao,10.2849,22.7882,21.21,17,38,5.42,CF,1706660424
292,sayat,38.7839,63.8803,-3.07,66,9,2.55,TM,1706660425
293,sarande,39.8756,20.0053,5.98,50,0,3.13,AL,1706660425
294,la ronge,55.1001,-105.2842,8.14,61,20,3.6,CA,1706660426
295,fort wellington,6.4,-57.6,26.28,81,32,4.54,GY,1706660426
296,road town,18.4167,-64.6167,26.05,83,20,2.06,VG,1706660426
297,shimanovsk,52.0,127.7,-28.61,98,78,2.17,RU,1706660426
298,sunne,59.8376,13.143,0.18,99,92,1.24,SE,1706660427
299,reggane,26.7158,0.1714,17.5,29,0,8.25,DZ,1706660427
300,newman,37.3138,-121.0208,22.94,54,89,3.23,US,1706660427
301,bogorodskoye,56.55,37.8833,-6.47,99,100,0.98,RU,1706660428
302,rikaze,29.25,88.8833,-5.63,55,1,1.86,CN,1706660428
303,vorkuta,67.5,64.0,-12.88,95,100,4.41,RU,1706660428
304,rio grande,-32.035,-52.0986,23.06,85,44,4.55,BR,1706660428
305,altamira,-3.2033,-52.2064,24.28,91,100,0.46,BR,1706660410
306,malango,-2.9627,119.9001,23.41,88,92,0.35,ID,1706660429
307,champerico,14.3,-91.9167,30.3,66,12,3.52,GT,1706660429
308,lycksele,64.5954,18.6735,-5.87,85,43,1.03,SE,1706660430
309,kirensk,57.7853,108.1119,-41.13,100,27,0.89,RU,1706660430
310,madison,34.7334,-86.5667,14.36,64,100,3.58,US,1706660430
311,south hedland,-20.4089,118.5983,29.96,74,32,3.6,AU,1706660431
312,lagunas,-5.2269,-75.6753,27.89,72,100,1.5,PE,1706660431
313,levuka,50.1834,-105.4011,9.85,57,75,8.23,CA,1706660431
314,kailua-kona,19.6406,-155.9956,28.61,74,75,6.17,US,1706660431
315,whitehorse,60.7161,-135.0538,1.43,53,20,6.71,CA,1706660431
316,xinyang,32.1228,114.0656,6.66,74,100,2.16,CN,1706660432
317,lamarque,-39.423,-65.7021,32.26,18,35,1.91,AR,1706660432
318,kapuskasing,49.4169,-82.4331,1.05,93,100,4.63,CA,1706660432
319,brezina,33.0989,1.2608,9.49,66,100,2.19,DZ,1706660432
320,arraial do cabo,-22.9661,-42.0278,24.98,94,40,1.03,BR,1706660433
321,porbandar,21.6422,69.6093,20.76,84,87,3.27,IN,1706660433
322,dmitrovsk-orlovskiy,52.505,35.1464,-4.17,92,100,2.51,RU,1706660423
323,urengoy,65.9667,78.3667,-22.43,96,38,5.01,RU,1706660433
324,saint-francois,46.4154,3.9054,4.25,93,25,1.03,FR,1706660434
325,pachino,36.7186,15.0907,10.22,60,37,4.18,IT,1706660434
326,palikir - national government center,6.9248,158.1611,29.41,66,100,5.14,FM,1706660434
327,vanino,49.0869,140.2543,-17.87,72,49,1.92,RU,1706660156
328,tugulym,57.0591,64.6425,-10.93,94,100,3.43,RU,1706660434
329,hirara,24.8,125.2833,22.92,83,20,5.66,JP,1706660435
330,new plymouth,-39.0667,174.0833,23.29,60,28,3.84,NZ,1706660435
331,santiago de cuba,20.0247,-75.8219,24.06,60,40,4.12,CU,1706660346
332,hebi,35.8992,114.1925,-0.14,76,0,2.78,CN,1706660435
333,altai,46.3722,96.2583,-17.89,58,64,0.59,MN,1706660435
334,revda,56.801,59.9303,-8.99,96,100,2.04,RU,1706660436
335,cidreira,-30.1811,-50.2056,21.48,84,1,4.45,BR,1706660436
336,pisco,-13.7,-76.2167,24.03,78,0,8.75,PE,1706660436
337,miyaly,48.8844,53.7836,-4.94,95,100,6.05,KZ,1706660436
338,cabo san lucas,22.8909,-109.9124,26.95,49,100,5.66,MX,1706660436
339,ust'-ilimsk,58.0006,102.6619,-34.2,100,24,1.34,RU,1706660437
340,tsiombe,-25.3,45.4833,23.41,80,96,6.71,MG,1706660437
341,bandarbeyla,9.4942,50.8122,24.49,71,89,4.11,SO,1706660437
342,tyazhinskiy,56.116,88.524,-24.38,100,73,1.62,RU,1706660437
343,lobatse,-25.2167,25.6667,22.2,55,82,2.19,BW,1706660437
344,himatnagar,23.6,72.95,17.18,60,100,2.44,IN,1706660438
345,richards bay,-28.783,32.0377,23.16,81,46,2.04,ZA,1706660438
346,nur-sultan,51.1801,71.446,-10.03,92,100,1.0,KZ,1706660438
347,swakopmund,-22.6833,14.5333,18.47,86,10,1.34,,1706660438
348,richard-toll,16.4625,-15.7008,22.01,10,0,5.06,SN,1706660438
349,armidale,-30.5167,151.65,26.05,47,19,2.83,AU,1706660438
350,phan thiet,10.9333,108.1,22.85,76,71,2.09,VN,1706660439
351,karratha,-20.7377,116.8463,27.69,70,73,2.66,AU,1706660439
352,al jawf,29.5,38.75,7.11,52,0,4.37,SA,1706660439
353,mpika,-11.8343,31.4529,17.41,92,46,1.63,ZM,1706660440
354,novodvinsk,64.4165,40.8122,-0.12,87,85,3.81,RU,1706660440
355,saskatoon,52.1168,-106.6345,3.99,75,75,3.6,CA,1706660322
356,yeraliyev,43.2,51.65,0.85,74,82,6.19,KZ,1706660440
357,kinango,-4.1372,39.3153,25.06,92,100,1.13,KE,1706660440
358,belel,7.05,14.4333,17.21,24,19,2.17,CM,1706660441
359,kavarna,43.4333,28.3333,-1.4,77,100,6.45,BG,1706660441
360,vadso,70.0744,29.7487,4.09,65,97,11.83,NO,1706660441
361,rawson,-43.3002,-65.1023,26.08,37,0,2.05,AR,1706660441
362,shingu,33.7333,135.9833,10.25,92,96,0.87,JP,1706660441
